Name,Address,Category,URL,Rating
らぁ麺 麦一粒,"長野県 北安曇郡松川村
                        
                        
                          月曜日、火曜日",拉麵 (北海道),https://tabelog.com/nagano/A2005/A200502/20021423/,
麺道 麒麟児,"長野県 長野市
                        
                        
                          月曜日、火曜日",拉麵 (北海道),https://tabelog.com/nagano/A2001/A200101/20017737/,
"初選出
                        
                      
                      
                        
                          やきにく徳山",長野県 飯田市,燒肉 (東京),https://tabelog.com/nagano/A2006/A200603/20003734/,
"初選出
                        
                      
                      
                        
                          風林火山","長野県 松本市
                        
                        
                          月曜日",居酒屋 (東日本),https://tabelog.com/nagano/A2002/A200201/20002796/,
卯屋,"長野県 松本市
                        
                        
                          日曜日",居酒屋 (東日本),https://tabelog.com/nagano/A2002/A200201/20000086/,
ザ　カウボーイハウス,"長野県 北佐久郡軽井沢町
                        
                        
                          火曜日、水曜日",牛排・鐵板燒 (東日本),https://tabelog.com/nagano/A2003/A200301/20000179/,
"初選出
                        
                      
                      
                        
                          ささくら","長野県 北佐久郡軽井沢町
                        
                        
                          火曜日",蕎麥麵 (東日本),https://tabelog.com/nagano/A2003/A200301/20000585/,
うずら家,"長野県 長野市
                        
                        
                          水曜日",蕎麥麵 (東日本),https://tabelog.com/nagano/A2001/A200101/20000191/,
蕎麦 ふじおか,長野県 長野市その他,蕎麥麵 (東日本),https://tabelog.com/nagano/A2001/A200101/20000415/,
石臼挽き蕎麦香房 山の実,"長野県 下高井郡山ノ内町
                        
                        
                          火曜日、水曜日、木曜日",蕎麥麵 (東日本),https://tabelog.com/nagano/A2001/A200104/20000397/,
せきざわ,長野県 上高井郡小布施町,蕎麥麵 (東日本),https://tabelog.com/nagano/A2001/A200106/20000282/,
"初選出
                        
                      
                      
                        
                          蕎麦旬菜 こすげ","長野県 長野市
                        
                        
                          月曜日、日曜日",蕎麥麵 (東日本),https://tabelog.com/nagano/A2001/A200101/20016783/,
そばの実,"長野県 長野市
                        
                        
                          木曜日、金曜日",蕎麥麵 (東日本),https://tabelog.com/nagano/A2001/A200101/20001575/,
山里乃蕎麦 丸富,"長野県 駒ヶ根市
                        
                        
                          火曜日",蕎麥麵 (東日本),https://tabelog.com/nagano/A2006/A200602/20000040/,
野麦,長野県 松本市,蕎麥麵 (東日本),https://tabelog.com/nagano/A2002/A200201/20000101/,
職人館,長野県 佐久市,蕎麥麵 (東日本),https://tabelog.com/nagano/A2003/A200302/20001680/,
軽井沢 川上庵 本店,長野県 北佐久郡軽井沢町,蕎麥麵 (東日本),https://tabelog.com/nagano/A2003/A200301/20000161/,
蕎麦倶楽部　佐々木,"長野県 松本市
                        
                        
                          月曜日、火曜日",蕎麥麵 (東日本),https://tabelog.com/nagano/A2002/A200201/20002376/,
三城,"長野県 松本市
                        
                        
                          日曜日",蕎麥麵 (東日本),https://tabelog.com/nagano/A2002/A200201/20000629/,
万平ホテル カフェテラス,長野県 北佐久郡軽井沢町,咖啡廳 (東日本),https://tabelog.com/nagano/A2003/A200301/20000151/,
アルペンローゼ,長野県 松本市,日式洋食 (東日本),https://tabelog.com/nagano/A2002/A200202/20000481/,
